,taxonomy,host-associated,unknown function,tail,DNA,transcription regulation,head and packaging,lysis,moron,integration and excision,auxiliary metabolic gene and host takeover,other,RNA and nucleotide metabolism,connector,vf_amr
2029527003_3|2029527003.a:APTF_contig34915,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_G,True,6,9,1,0,0,1,0,0,0,0,1,2,0
2029527003_3|2029527003.a:APTF_contig46037,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_G,True,58,6,7,4,12,3,3,1,3,1,7,1,0
2035918003_3|2035918003.a:DPOL_contig02792,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__,True,13,0,1,0,0,0,0,2,0,1,1,0,0
2035918003_3|2035918003.a:DPOL_contig20193,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__,True,4,12,1,1,0,3,0,0,0,1,1,2,0
2084038008_1|2084038008.a:XAGC_contig32990,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__,True,22,12,1,3,5,3,1,0,1,1,1,4,0
2084038008_1|2084038008.a:XAGC_contig32992,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__,True,6,13,1,1,0,3,0,0,0,1,1,2,0
3300000405_1|3300000405.a:LV_Brine_h2_0102DRAFT_1000055,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,30,5,1,1,0,2,1,2,1,2,1,0,0
3300000405_1|3300000405.a:LV_Brine_h2_0102DRAFT_1000056,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,10,4,0,0,2,0,0,0,0,0,0,1,0
3300000564_1|3300000564.a:RepKanNP_BrdU_F12BDRAFT_1000025,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_F,False,4,5,0,0,1,0,0,0,0,0,0,0,0
3300000838_1|3300000838.a:JGI996J12353_1000014,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__;s__,True,32,6,1,1,4,1,2,2,2,1,1,2,0
3300000838_1|3300000838.a:JGI996J12353_1000017,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__;s__,True,30,1,0,0,1,0,1,1,1,0,0,0,0
3300000839_38|3300000839.a:JGI994J12354_10000384,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__,True,13,6,0,1,0,0,2,0,2,0,0,0,0
3300001484_5|3300001484.a:rank12_10083838,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__GCA_002450155.1,True,10,0,4,1,0,0,0,0,0,1,4,0,0
3300001567_19|3300001567.a:Draft_10000134,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,False,14,3,2,1,0,0,3,2,3,1,2,0,0
3300001567_19|3300001567.a:Draft_10001192,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,False,4,10,0,0,8,0,0,0,0,1,0,3,0
3300001919_11|3300001919.a:EFB_1003293,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,True,10,0,2,0,0,0,1,0,1,0,2,0,0
3300001919_7|3300001919.a:EFB_1026531,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,True,64,2,9,3,5,1,0,2,0,4,9,3,0
3300002009_1|3300002009.a:MPI2_100067,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__,False,16,1,1,0,1,0,0,1,0,0,1,0,0
3300002061_3|3300002061.a:AR2_1000032,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,False,59,0,1,4,1,0,0,0,0,1,1,0,0
3300002092_1|3300002092.a:JGI24218J26658_1000021,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__,False,71,3,8,2,8,0,0,1,0,3,8,0,0
3300002301_2|3300002301.a:JGI24891J29808_1000091,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,11,4,0,0,2,0,0,0,0,0,0,1,0
3300002301_2|3300002301.a:JGI24891J29808_1000172,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,34,3,2,3,5,2,0,2,0,1,2,1,0
3300002307_2|3300002307.a:JGI24890J29729_1000062,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,34,3,2,3,5,2,0,2,0,1,2,1,0
3300002307_2|3300002307.a:JGI24890J29729_1000080,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,90,0,11,3,4,0,3,1,3,0,11,0,0
3300002307_2|3300002307.a:JGI24890J29729_1000096,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,10,4,0,0,2,0,0,0,0,0,0,1,0
3300002307_2|3300002307.a:JGI24890J29729_1000679,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,False,25,1,1,0,2,0,0,0,0,0,1,0,0
3300002989_10|3300002989.a:JGI24143J45723_1001062,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__,False,4,0,0,0,2,0,1,0,1,0,0,0,0
3300003109_1|3300003109.a:Ga0051163_100003,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii,True,35,1,0,0,1,0,0,1,0,0,0,0,0
3300003109_1|3300003109.a:Ga0051163_100005,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii,True,23,9,4,2,2,0,1,2,1,1,4,2,0
3300003140_4|3300003140.a:Ga0051081_1002330,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum,True,27,0,4,2,4,0,0,0,0,2,4,0,0
